Data Sets simulated by the Matlab function dataSetsGenerator,,
Time (s),NoLatchCurrent (mA),LatchCurrent (mA)
1,66.531591,66.531591
2,64.190186,64.190186
3,65.409217,65.409217
4,67.057596,67.057596
5,65.763673,65.763673
6,66.947528,66.947528
7,67.039252,67.039252
8,67.739762,67.739762
9,64.304152,64.304152
10,65.298883,65.298883
11,65.03506,65.03506
12,67.728736,67.728736
13,65.810445,65.810445
14,66.592983,66.592983
15,65.609647,65.609647
16,66.744916,66.744916
17,67.898866,67.898866
18,66.728358,66.728358
19,67.57248,67.57248
20,65.371498,65.371498
21,66.60854,66.60854
22,65.331218,65.331218
23,66.455506,66.455506
24,67.912491,67.912491
25,64.468804,64.468804
26,67.342864,67.342864
27,67.989232,67.989232
28,67.135077,67.135077
29,65.515844,65.515844
30,66.496458,66.496458
31,66.800568,66.800568
32,66.383766,66.383766
33,65.285592,65.285592
34,67.926533,67.926533
35,67.518506,67.518506
36,66.19213,66.19213
37,65.290081,65.290081
38,65.496653,65.496653
39,64.753984,64.753984
40,65.878621,65.878621
41,69.790357,69.790357
42,70.74408,70.74408
43,68.031335,68.031335
44,70.806529,70.806529
45,69.769463,69.769463
46,70.52687,70.52687
47,70.863277,70.863277
48,68.884533,68.884533
49,67.369263,67.369263
50,68.814408,68.814408
51,68.306271,68.306271
52,70.815501,70.815501
53,68.865554,68.865554
54,69.327512,69.327512
55,66.823335,66.823335
56,66.784906,66.784906
57,67.388497,67.388497
58,66.202625,66.202625
59,64.485748,64.485748
60,67.966493,67.966493
61,67.623092,67.623092
62,67.342683,67.342683
63,67.437399,67.437399
64,64.04124,64.04124
65,67.649728,67.649728
66,67.240523,67.240523
67,65.173496,65.173496
68,66.108909,66.108909
69,65.495437,65.495437
70,64.359511,64.359511
71,67.083233,67.083233
72,67.244032,67.244032
73,67.881249,67.881249
74,66.128783,66.128783
75,68.980704,68.980704
76,67.946783,67.946783
77,68.455116,68.455116
78,68.126876,68.126876
79,68.472332,68.472332
80,66.416503,66.416503
81,69.680415,69.680415
82,70.104408,70.104408
83,68.978956,68.978956
84,69.011238,69.011238
85,67.668432,67.668432
86,67.803706,67.803706
87,66.648447,66.648447
88,67.06023,67.06023
89,67.1233,67.1233
90,66.419533,66.419533
91,68.061675,68.061675
92,69.801021,69.801021
93,67.946703,67.946703
94,64.677745,64.677745
95,65.740771,65.740771
96,67.713394,67.713394
97,67.667147,67.667147
98,66.085691,66.085691
99,68.378908,68.378908
100,68.770509,68.770509
101,70.906043,70.906043
102,67.805961,67.805961
103,68.335575,68.335575
104,69.273624,69.273624
105,69.610368,69.610368
106,70.268692,70.268692
107,69.442898,69.442898
108,68.26611,68.26611
109,70.242829,70.242829
110,70.709705,70.709705
111,70.580451,70.580451
112,71.006652,71.006652
113,67.18733,67.18733
114,67.860738,67.860738
115,65.475849,65.475849
116,64.129062,64.129062
117,65.457778,65.457778
118,65.206256,65.206256
119,65.459702,65.459702
120,67.688882,67.688882
121,65.543242,65.543242
122,67.415596,67.415596
123,66.627148,66.627148
124,67.561206,67.561206
125,65.139284,65.139284
126,64.862663,64.862663
127,64.954008,64.954008
128,67.818651,67.818651
129,67.709459,67.709459
130,65.400759,65.400759
131,66.489297,66.489297
132,66.652546,66.652546
133,66.301115,66.301115
134,66.993544,66.993544
135,67.211643,67.211643
