Data Sets simulated by the Matlab function dataSetsGenerator,,
Time (s),NoLatchCurrent (mA),LatchCurrent (mA)
1,64.30717,64.30717
2,64.95656,64.95656
3,67.29792,67.29792
4,66.30662,66.30662
5,65.50354,65.50354
6,65.02881,65.02881
7,66.38109,66.38109
8,64.85631,64.85631
9,64.57333,64.57333
10,64.0843,64.0843
11,64.37674,64.37674
12,65.12529,65.12529
13,64.90277,64.90277
14,67.09775,67.09775
15,67.72326,67.72326
16,66.88436,66.88436
17,67.89087,67.89087
18,65.12737,65.12737
19,64.20635,64.20635
20,66.44871,66.44871
21,66.90179,66.90179
22,64.15548,64.15548
23,66.92248,66.92248
24,65.77527,65.77527
25,65.43147,65.43147
26,66.67091,66.67091
27,64.31379,64.31379
28,65.88151,65.88151
29,64.84751,64.84751
30,67.33355,67.33355
31,65.35447,65.35447
32,65.02229,65.02229
33,67.01906,67.01906
34,65.02161,65.02161
35,67.33453,67.33453
36,67.21569,67.21569
37,67.25987,67.25987
38,66.8931,66.8931
39,64.67577,64.67577
40,66.27943,66.27943
41,64.70164,64.70164
42,64.14764,64.14764
43,66.74845,66.74845
44,66.74873,66.74873
45,64.60298,64.60298
46,67.85339,67.85339
47,64.93017,64.93017
48,67.89264,67.89264
49,67.04573,67.04573
50,64.6233,64.6233
51,65.78602,65.78602
52,66.38921,66.38921
53,64.86423,64.86423
54,66.89225,66.89225
55,66.65373,66.65373
56,65.62314,65.62314
57,64.53631,64.53631
58,66.49576,66.49576
59,64.11154,64.11154
60,66.27242,66.27242
61,67.84186,67.84186
62,66.45763,66.45763
63,65.1471,65.1471
64,66.40778,66.40778
65,64.33088,64.33088
66,65.72294,65.72294
67,66.04253,66.04253
68,67.22072,67.22072
69,64.62728,64.62728
70,66.47647,66.47647
71,67.96508,67.96508
72,66.94208,66.94208
73,64.98293,64.98293
74,67.9329,67.9329
75,65.51183,65.51183
76,64.4197,64.4197
77,66.46147,66.46147
78,65.01127,65.01127
79,66.47885,66.47885
80,67.80243,67.80243
81,67.47385,67.47385
82,64.01737,64.01737
83,65.68459,65.68459
84,67.09818,67.09818
85,66.80433,66.80433
86,66.71439,66.71439
87,65.82805,65.82805
88,65.73403,65.73403
89,66.29078,66.29078
90,64.49299,64.49299
91,65.96929,65.96929
92,64.55582,64.55582
93,65.41627,65.41627
94,65.30693,65.30693
95,68.09861,68.09861
96,66.9141,66.9141
97,69.09709,69.09709
98,70.27293,70.27293
99,70.31598,70.31598
100,68.63004,68.63004
101,69.1681,69.1681
102,70.46199,70.46199
103,70.12718,70.12718
104,70.47368,70.47368
105,67.12881,67.12881
106,71.03082,71.03082
107,72.33177,72.33177
108,70.97599,70.97599
109,71.94944,71.94944
110,71.08574,71.08574
111,70.41342,70.41342
112,71.00903,71.00903
113,73.11043,73.11043
114,70.24109,70.24109
115,69.99395,69.99395
116,66.96643,66.96643
117,67.98369,67.98369
118,70.40604,70.40604
119,70.21987,70.21987
120,70.51174,70.51174
121,68.44763,68.44763
122,70.17043,70.17043
123,69.80729,69.80729
124,66.84869,66.84869
125,68.75096,68.75096
126,64.25939,64.25939
127,67.77046,67.77046
128,65.74337,65.74337
129,66.99021,66.99021
130,67.12887,67.12887
131,66.7678,66.7678
132,66.49128,66.49128
133,64.38338,64.38338
134,67.40422,67.40422
135,67.53084,67.53084
136,65.23702,65.23702
137,67.18318,67.18318
138,67.90167,67.90167
139,67.52133,67.52133
140,65.54063,65.54063
141,64.84251,64.84251
142,64.59831,64.59831
143,66.2947,66.2947
144,64.4632,64.4632
145,67.25272,67.25272
146,67.42139,67.42139
147,64.09914,64.09914
148,64.13865,64.13865
149,65.73568,65.73568
150,64.68075,64.68075
151,64.72942,64.72942
152,67.99076,67.99076
153,67.6884,67.6884
154,64.982,64.982
155,64.35653,64.35653
156,65.51336,65.51336
157,64.40263,64.40263
158,67.62852,67.62852
159,66.56466,66.56466
160,65.42663,65.42663
161,64.17944,64.17944
162,64.50112,64.50112
163,71.2977,71.2977
164,68.45087,68.45087
165,68.72952,68.72952
166,70.20477,70.20477
167,69.20759,69.20759
168,69.87237,69.87237
169,68.31766,68.31766
170,70.70164,70.70164
171,70.52259,70.52259
172,71.12268,71.12268
173,69.52272,69.52272
174,71.08775,71.08775
175,66.35701,66.35701
176,64.13552,64.13552
177,67.26377,67.26377
178,65.82771,65.82771
179,66.3182,66.3182
180,67.84473,67.84473
181,69.91049,69.91049
182,71.57364,71.57364
183,70.77038,70.77038
184,70.21407,70.21407
