Data Sets simulated by the Matlab function dataSetsGenerator,,
Time (s),NoLatchCurrent (mA),LatchCurrent (mA)
1,65.51963,65.51963
2,67.73083,67.73083
3,66.10043,66.10043
4,65.2693,65.2693
5,66.05205,66.05205
6,65.09644,65.09644
7,67.52282,67.52282
8,65.01722,65.01722
9,67.88774,67.88774
10,67.61292,67.61292
11,66.67178,66.67178
12,65.8873,65.8873
13,66.77861,66.77861
14,64.99073,64.99073
15,64.97685,64.97685
16,66.57245,66.57245
17,65.76534,65.76534
18,66.1917,66.1917
19,64.04488,64.04488
20,67.51802,67.51802
21,67.40879,67.40879
22,67.13028,67.13028
23,64.92659,64.92659
24,67.22828,67.22828
25,67.67004,67.67004
26,70.56416,70.56416
27,69.11912,69.11912
28,69.0478,69.0478
29,69.27773,69.27773
30,69.57015,69.57015
31,70.5558,70.5558
32,67.74284,67.74284
33,71.03138,71.03138
34,68.12298,68.12298
35,69.01957,69.01957
36,68.19473,68.19473
37,65.20792,65.20792
38,66.15261,66.15261
39,65.86873,65.86873
40,66.88804,66.88804
41,65.59988,65.59988
42,65.40563,65.40563
43,66.50531,66.50531
44,67.32278,67.32278
45,65.08434,65.08434
46,66.95051,66.95051
47,64.93162,64.93162
48,67.53729,67.53729
49,70.62288,70.62288
50,70.86441,70.86441
51,69.06183,69.06183
52,70.344,70.344
53,71.51224,71.51224
54,70.53147,70.53147
55,68.42491,68.42491
56,71.33153,71.33153
57,65.50368,65.50368
58,65.52994,65.52994
59,65.98522,65.98522
60,66.77662,66.77662
61,64.46302,64.46302
62,67.23373,67.23373
63,66.90734,66.90734
64,67.11447,67.11447
65,67.16115,67.16115
66,66.98431,66.98431
67,67.28372,67.28372
68,67.36869,67.36869
69,67.91717,67.91717
70,67.90517,67.90517
71,64.74423,64.74423
72,67.05211,67.05211
73,67.28683,67.28683
74,65.84709,65.84709
75,67.02335,67.02335
76,67.09179,67.09179
77,65.00792,65.00792
78,66.37,66.37
79,67.53214,67.53214
80,67.41112,67.41112
81,67.49477,67.49477
82,66.95063,66.95063
83,64.9288,64.9288
84,65.37941,65.37941
85,64.27391,64.27391
86,66.58714,66.58714
87,67.12434,67.12434
88,65.78814,65.78814
89,65.66663,65.66663
90,65.26713,65.26713
91,65.32467,65.32467
92,67.31091,67.31091
93,64.92071,64.92071
94,67.23455,67.23455
95,65.56305,65.56305
96,66.56181,66.56181
97,66.53442,66.53442
98,67.39531,67.39531
99,66.36988,66.36988
100,67.83201,67.83201
101,67.25588,67.25588
102,66.55679,66.55679
103,65.56466,65.56466
104,67.47293,67.47293
105,64.83683,64.83683
106,67.06201,67.06201
107,66.70841,66.70841
108,65.16004,65.16004
109,66.17911,66.17911
110,66.05473,66.05473
111,65.07056,65.07056
112,67.41602,67.41602
113,65.60908,65.60908
114,64.71912,64.71912
115,67.88372,67.88372
116,66.07367,66.07367
117,65.81873,65.81873
118,67.50963,67.50963
119,66.92875,66.92875
120,66.69437,66.69437
121,67.42679,67.42679
122,66.14175,66.14175
123,65.60917,65.60917
124,66.42204,66.42204
125,65.23048,65.23048
126,66.69964,66.69964
127,65.69306,65.69306
128,66.17202,66.17202
129,67.03515,67.03515
130,64.36585,64.36585
131,64.0749,64.0749
132,64.29483,64.29483
133,65.88533,65.88533
134,67.6781,67.6781
135,66.24528,66.24528
136,65.7441,65.7441
137,65.3854,65.3854
138,67.12123,67.12123
139,64.97844,64.97844
140,64.67954,64.67954
141,67.1488,67.1488
142,66.69684,66.69684
143,64.34129,64.34129
144,64.5184,64.5184
145,66.14503,66.14503
146,67.76851,67.76851
147,66.25377,66.25377
148,69.18892,69.18892
149,71.19084,71.19084
150,69.39104,69.39104
151,69.39417,69.39417
152,70.65809,70.65809
153,71.57849,71.57849
154,69.31427,69.31427
155,70.84876,70.84876
156,68.49293,68.49293
157,64.30566,64.30566
158,67.51053,67.51053
159,65.00369,65.00369
160,66.04473,66.04473
161,64.04138,64.04138
162,64.4774,64.4774
163,64.96477,64.96477
164,66.17333,66.17333
165,65.46641,65.46641
166,64.64866,64.64866
167,66.73143,113.0865
168,66.5906,112.9457
169,65.817,112.1721
170,67.16125,113.5163
171,67.46748,113.8225
172,64.04208,110.3971
173,66.61332,112.9684
174,65.08416,111.4392
175,67.45297,113.808
176,66.43611,112.7912
177,66.13437,112.4894
178,66.27157,112.6266
179,67.95941,114.3145
180,66.67927,113.0343
181,69.61236,115.9674
182,69.77787,116.1329
183,71.78736,118.1424
184,70.00167,116.3567
185,71.64575,118.0008
186,69.52516,115.8802
187,68.44774,114.8028
188,70.93563,117.2907
189,69.55819,115.9133
190,71.45504,117.8101
191,71.20726,117.5623
192,71.1357,117.4908
193,70.47661,116.8317
194,65.58475,111.9398
195,66.39552,112.7506
196,64.20885,110.5639
197,64.00419,110.3593
198,67.4697,113.8248
199,64.69189,111.0469
200,66.68549,113.0405
201,66.0477,112.4028
202,67.60423,113.9593
203,66.27741,112.6325
204,66.92172,113.2768
205,65.90682,112.2619
206,66.43243,66.43243
207,65.26497,65.26497
208,65.07586,65.07586
209,65.08071,65.08071
210,64.03088,64.03088
211,67.09875,67.09875
212,66.81404,66.81404
213,65.49951,65.49951
214,67.43378,67.43378
215,64.35225,64.35225
216,64.71829,64.71829
217,65.96414,65.96414
218,66.7697,66.7697
219,66.53033,66.53033
220,66.76346,66.76346
221,64.93748,64.93748
222,67.24638,67.24638
223,66.76,66.76
224,66.7033,66.7033
225,65.08263,65.08263
226,65.61889,65.61889
227,66.53388,66.53388
228,64.86608,64.86608
229,66.4123,66.4123
230,66.25214,66.25214
231,64.33459,64.33459
232,64.35487,64.35487
233,67.22107,67.22107
234,66.00098,66.00098
235,67.08611,67.08611
236,66.07394,66.07394
237,64.08206,64.08206
238,67.35974,67.35974
239,66.56434,66.56434
240,67.02939,67.02939
241,63.87979,63.87979
242,64.29129,64.29129
243,67.81433,67.81433
244,63.79145,63.79145
245,69.67542,69.67542
246,65.99078,65.99078
247,67.09817,67.09817
248,65.76874,65.76874
249,62.05042,62.05042
250,69.44095,69.44095
251,62.95062,62.95062
252,65.62262,65.62262
253,69.82623,69.82623
254,65.39499,65.39499
255,65.806,65.806
256,64.95239,64.95239
257,70.01419,70.01419
258,69.08259,69.08259
259,72.77414,72.77414
260,72.11205,72.11205
261,71.55259,71.55259
262,65.355,65.355
263,68.57586,68.57586
264,72.81978,72.81978
265,71.48341,71.48341
266,72.07405,72.07405
267,66.08428,66.08428
268,68.6527,68.6527
269,69.52255,69.52255
270,66.36905,66.36905
271,68.81712,68.81712
272,72.2329,72.2329
273,68.57769,68.57769
274,71.59534,71.59534
275,66.30292,66.30292
276,71.16175,71.16175
277,68.62959,68.62959
278,71.87304,71.87304
279,66.73277,66.73277
280,72.95059,72.95059
281,70.96724,70.96724
282,66.39196,66.39196
283,65.51315,65.51315
284,71.67543,71.67543
285,69.40535,69.40535
286,72.5665,72.5665
287,65.53059,65.53059
288,68.36293,68.36293
289,65.67387,65.67387
290,71.00463,71.00463
291,63.519,63.519
292,64.46298,64.46298
293,63.76568,63.76568
294,66.59295,66.59295
295,66.65444,66.65444
296,69.95636,69.95636
297,62.31243,62.31243
298,64.2829,64.2829
299,69.62002,69.62002
300,67.28535,67.28535
301,66.3641,66.3641
302,62.34683,62.34683
303,65.80561,65.80561
304,67.96093,67.96093
305,67.00738,67.00738
306,63.45926,63.45926
307,66.95673,66.95673
308,69.26511,69.26511
309,68.87141,68.87141
310,68.49492,68.49492
311,67.51325,67.51325
312,68.03682,68.03682
313,63.69431,63.69431
314,66.75587,66.75587
315,65.75687,65.75687
316,65.25659,65.25659
317,65.3744,65.3744
318,69.36662,69.36662
319,70.29801,70.29801
320,68.81019,68.81019
321,70.4356,70.4356
322,69.33978,69.33978
323,68.62249,68.62249
324,68.14704,68.14704
325,70.3924,70.3924
326,68.45863,68.45863
327,71.05952,71.05952
328,68.87447,68.87447
329,69.06848,69.06848
330,69.3785,69.3785
331,68.73429,68.73429
332,69.2055,69.2055
333,70.93123,70.93123
334,70.77258,70.77258
335,70.78339,70.78339
336,66.44331,66.44331
337,64.38821,64.38821
338,64.12077,64.12077
339,66.59465,66.59465
340,65.84269,65.84269
341,64.30454,64.30454
342,64.77398,64.77398
343,65.53852,65.53852
344,66.2552,66.2552
345,66.41167,66.41167
346,67.13251,67.13251
347,66.67063,66.67063
348,66.48743,66.48743
349,68.28652,68.28652
350,67.71728,67.71728
351,69.00286,69.00286
352,66.68623,66.68623
353,66.90777,66.90777
354,69.82172,69.82172
355,66.95871,66.95871
356,69.22419,69.22419
357,68.17053,68.17053
358,67.79431,67.79431
359,67.88783,67.88783
360,67.04151,67.04151
361,64.21532,64.21532
362,65.47024,65.47024
363,69.32834,69.32834
364,66.69376,66.69376
365,67.91167,67.91167
366,66.43291,66.43291
367,67.5756,67.5756
368,69.89712,69.89712
369,68.65399,68.65399
370,70.40638,70.40638
371,69.05984,69.05984
372,65.06507,65.06507
373,66.20207,66.20207
374,67.12172,67.12172
375,65.05939,65.05939
376,67.56542,67.56542
377,65.64425,65.64425
378,67.07986,67.07986
379,66.85853,66.85853
380,65.4311,65.4311
381,65.07682,65.07682
382,67.268,67.268
383,65.48063,65.48063
384,66.16394,66.16394
385,67.46648,67.46648
386,67.89151,67.89151
387,66.90823,66.90823
388,66.49206,66.49206
389,67.2048,67.2048
390,66.87347,66.87347
391,65.78038,65.78038
392,65.46551,65.46551
393,67.28754,67.28754
394,65.78231,65.78231
395,67.68774,67.68774
396,66.60343,66.60343
397,67.56251,67.56251
398,64.01864,64.01864
399,64.60185,64.60185
400,67.16424,67.16424
401,64.9662,64.9662
402,65.55942,65.55942
403,67.54504,67.54504
404,65.01892,65.01892
405,65.67688,65.67688
406,64.03093,64.03093
407,65.77463,65.77463
408,65.60138,65.60138
409,66.12724,66.12724
410,65.39221,65.39221
411,64.03403,64.03403
412,64.08394,64.08394
413,67.75548,67.75548
414,64.44873,64.44873
415,67.20227,67.20227
416,67.5403,67.5403
417,65.58479,65.58479
418,66.20132,66.20132
419,64.21534,64.21534
420,66.63417,66.63417
421,65.39883,65.39883
422,66.08304,66.08304
423,65.27666,65.27666
424,67.53848,67.53848
425,67.80727,67.80727
426,64.55062,64.55062
427,64.34663,64.34663
428,64.73632,64.73632
429,65.16023,65.16023
430,64.70248,64.70248
431,65.67141,65.67141
432,65.12664,65.12664
433,65.91654,65.91654
434,66.35062,66.35062
435,67.32783,67.32783
436,66.34328,66.34328
437,65.90173,65.90173
438,65.15912,65.15912
439,66.31024,66.31024
440,64.45117,64.45117
441,67.3639,67.3639
442,67.82925,67.82925
443,66.81188,66.81188
444,64.28466,64.28466
445,66.47838,66.47838
446,65.18683,65.18683
447,66.8285,66.8285
448,69.53099,69.53099
449,67.33008,67.33008
450,67.8133,67.8133
451,67.29759,67.29759
452,66.81801,66.81801
453,66.6592,66.6592
454,69.94407,69.94407
455,67.55008,67.55008
456,66.94299,66.94299
457,66.99717,66.99717
458,67.91431,67.91431
459,68.04234,68.04234
460,68.22885,68.22885
461,67.54972,67.54972
462,70.22733,70.22733
463,68.87682,68.87682
464,67.06303,67.06303
465,64.31696,64.31696
466,67.51721,67.51721
467,66.92193,66.92193
468,67.68844,67.68844
469,65.5486,65.5486
470,67.41236,67.41236
471,64.63265,64.63265
472,64.83762,64.83762
473,64.73845,64.73845
474,64.30285,64.30285
475,66.90104,66.90104
476,67.29635,67.29635
477,65.16556,65.16556
478,64.47129,64.47129
479,64.79121,64.79121
480,67.56316,67.56316
481,66.11306,66.11306
482,66.22533,66.22533
483,65.85533,65.85533
484,64.6311,64.6311
485,64.94439,64.94439
486,65.37319,65.37319
487,66.26899,66.26899
488,65.26896,65.26896
489,66.53946,66.53946
490,64.93254,64.93254
