Data Sets simulated by the Matlab function dataSetsGenerator,,
Time (s),NoLatchCurrent (mA),LatchCurrent (mA)
1,65.95354,65.95354
2,64.96335,64.96335
3,66.04185,66.04185
4,65.77835,65.77835
5,67.75867,67.75867
6,65.79651,65.79651
7,64.45377,64.45377
8,65.69051,65.69051
9,66.39799,66.39799
10,65.66311,65.66311
11,64.85616,64.85616
12,65.22314,65.22314
13,67.25658,67.25658
14,67.6691,67.6691
15,64.21022,64.21022
16,67.49303,67.49303
17,66.91808,66.91808
18,64.60055,64.60055
19,67.14008,67.14008
20,66.89319,66.89319
21,64.39815,64.39815
22,66.94985,66.94985
23,66.57381,66.57381
24,65.64773,65.64773
25,67.07467,67.07467
26,67.14188,67.14188
27,67.19394,67.19394
28,67.90545,67.90545
29,67.95076,67.95076
30,64.81226,64.81226
31,66.58527,66.58527
32,66.82396,66.82396
33,66.88028,66.88028
34,65.96887,65.96887
35,67.00358,67.00358
36,67.08869,67.08869
37,65.04877,65.04877
38,65.48715,65.48715
39,69.6538,69.6538
40,71.31665,71.31665
41,70.03191,70.03191
42,68.46812,68.46812
43,67.79074,67.79074
44,68.53989,68.53989
45,71.05088,71.05088
46,67.74178,67.74178
47,67.54789,67.54789
48,68.67037,68.67037
49,70.68983,70.68983
50,69.61199,69.61199
51,64.1327,64.1327
52,66.14407,66.14407
53,65.11944,65.11944
54,67.98819,67.98819
55,69.56889,69.56889
56,69.1536,69.1536
57,68.33225,68.33225
58,68.40207,68.40207
59,69.02181,69.02181
60,70.48324,70.48324
61,69.85866,69.85866
62,70.49888,70.49888
63,66.27491,66.27491
64,65.3543,65.3543
65,64.44035,64.44035
66,66.68491,66.68491
67,64.88351,64.88351
68,64.9589,64.9589
69,64.99211,64.99211
70,65.34464,65.34464
71,64.62906,64.62906
72,64.45661,64.45661
73,65.79664,65.79664
74,66.35925,66.35925
75,64.29207,64.29207
76,64.02485,64.02485
77,65.80088,65.80088
78,65.58613,65.58613
79,67.35817,67.35817
80,66.70389,66.70389
81,64.21704,64.21704
82,67.6965,67.6965
83,66.94105,66.94105
84,67.10952,67.10952
85,66.1307,66.1307
86,65.26533,65.26533
87,66.65944,66.65944
88,67.75366,67.75366
89,65.55165,65.55165
90,66.00727,66.00727
91,64.57583,64.57583
92,65.24757,65.24757
93,67.575,67.575
94,67.22648,67.22648
95,65.1568,65.1568
96,64.09241,64.09241
97,67.91622,67.91622
98,65.52044,65.52044
99,67.06199,67.06199
100,65.42845,65.42845
101,65.52619,65.52619
102,64.9202,64.9202
103,64.73664,64.73664
104,66.23024,66.23024
105,68.23374,68.23374
106,69.77414,69.77414
107,72.69002,72.69002
108,73.36332,73.36332
109,70.90263,70.90263
110,72.50997,72.50997
111,70.96992,70.96992
112,72.81906,72.81906
113,72.33991,72.33991
114,70.71424,70.71424
115,71.09555,71.09555
116,69.45527,69.45527
117,70.01921,70.01921
118,69.57448,69.57448
119,69.11192,69.11192
120,66.24995,66.24995
121,67.40542,67.40542
122,67.11093,67.11093
123,64.47083,64.47083
124,66.75431,66.75431
125,66.37322,66.37322
126,66.88597,66.88597
127,65.03754,65.03754
128,65.51455,65.51455
129,65.68325,65.68325
130,67.48131,67.48131
131,66.08486,66.08486
132,65.11059,65.11059
133,65.50489,65.50489
134,65.34453,65.34453
135,67.99581,67.99581
136,64.67655,64.67655
137,66.60751,66.60751
138,65.89028,65.89028
139,66.99114,66.99114
140,67.0654,67.0654
141,65.08072,65.08072
142,66.91466,66.91466
143,67.52435,67.52435
144,65.96977,65.96977
145,65.20608,65.20608
146,66.56029,66.56029
147,65.38855,65.38855
148,67.56701,67.56701
149,64.55213,64.55213
150,66.32894,66.32894
151,64.93682,64.93682
152,64.50213,64.50213
153,64.6168,64.6168
154,66.77505,66.77505
155,65.56098,65.56098
156,64.62634,64.62634
157,65.71792,65.71792
158,66.87829,66.87829
159,67.68753,67.68753
160,67.57547,67.57547
161,64.81439,64.81439
162,67.87877,67.87877
163,66.65963,66.65963
164,65.71158,65.71158
165,68.38033,68.38033
166,69.71919,69.71919
167,67.08915,67.08915
168,69.71637,69.71637
169,69.75628,69.75628
170,70.25608,70.25608
171,67.90866,67.90866
172,71.89819,71.89819
173,72.27022,72.27022
174,65.58739,65.58739
175,70.43957,70.43957
176,65.42194,65.42194
177,70.39377,70.39377
178,71.77182,71.77182
179,70.38379,70.38379
180,66.71288,66.71288
181,69.50255,69.50255
182,64.71096,64.71096
183,68.42922,68.42922
184,65.16352,65.16352
185,65.31179,65.31179
186,63.43627,63.43627
187,67.44614,67.44614
188,69.18976,69.18976
189,63.434,63.434
190,64.86744,64.86744
191,62.53167,62.53167
192,65.38491,65.38491
193,62.87677,62.87677
194,62.90453,62.90453
195,68.25251,68.25251
196,68.5063,68.5063
197,66.29958,66.29958
198,71.2406,71.2406
199,69.16052,69.16052
200,67.36058,67.36058
201,64.80676,64.80676
202,69.66854,69.66854
203,69.44005,69.44005
204,67.22712,67.22712
205,66.08726,66.08726
206,62.11427,62.11427
207,67.82885,67.82885
208,64.59335,64.59335
209,63.27915,63.27915
210,67.17506,67.17506
211,63.27239,63.27239
212,64.67262,64.67262
213,67.42886,67.42886
214,64.2657,64.2657
215,63.34008,63.34008
216,68.59989,68.59989
217,63.67304,63.67304
218,63.3199,63.3199
219,65.56568,65.56568
220,67.10707,67.10707
221,62.91599,62.91599
222,67.71476,67.71476
223,63.49964,63.49964
224,69.32262,69.32262
225,63.08694,63.08694
226,66.07345,66.07345
227,68.85058,68.85058
228,66.5555,66.5555
229,65.83253,65.83253
230,64.09941,64.09941
231,64.63678,64.63678
232,68.15955,68.15955
233,65.27559,65.27559
234,63.24125,63.24125
235,65.75023,65.75023
236,66.3426,66.3426
237,65.21749,65.21749
238,69.21049,69.21049
239,68.96119,68.96119
240,69.16001,69.16001
241,69.22111,69.22111
242,62.91755,62.91755
243,65.56384,65.56384
244,63.04855,63.04855
245,66.50926,66.50926
246,64.84791,64.84791
247,66.80565,66.80565
248,63.23857,63.23857
249,66.36802,66.36802
250,69.76873,69.76873
251,66.05471,66.05471
252,65.48214,65.48214
253,67.80272,67.80272
254,67.63925,67.63925
255,68.5386,68.5386
256,68.02187,68.02187
257,62.97353,62.97353
258,66.96527,66.96527
259,65.91278,65.91278
260,66.83988,66.83988
261,69.85091,110.8709
262,62.62876,103.6488
263,65.10012,106.1202
264,62.96164,103.9817
265,69.90593,110.926
266,63.02692,150.8751
267,68.55768,156.4058
268,66.45175,154.2999
269,64.45339,152.3015
270,69.70015,157.5483
271,62.30274,150.1509
272,65.99969,153.8478
273,68.9534,156.8015
274,62.3955,150.2436
275,64.89831,152.7464
276,66.26411,154.1122
277,66.57929,154.4274
278,64.3239,152.172
279,69.38736,157.2355
280,67.07869,154.9268
281,62.94099,150.7891
282,63.00478,150.8529
283,64.75313,152.6013
284,67.55372,155.4018
285,64.3119,152.16
286,64.22253,152.0707
287,65.22667,153.0748
288,64.96508,152.8132
289,65.67051,153.5186
290,67.12799,113.9561
291,66.41272,113.2408
292,65.39493,112.223
293,67.95593,114.784
294,65.40635,112.2344
295,64.62307,111.4512
296,64.32892,111.157
297,66.68327,113.5114
298,64.8333,111.6614
299,64.02263,110.8507
300,68.74889,115.577
301,68.65178,115.4799
302,71.29659,118.1247
303,70.93854,117.7666
304,72.25429,119.0824
305,72.14633,118.9744
306,71.94247,71.94247
307,71.06821,71.06821
308,72.20168,72.20168
309,74.34186,74.34186
310,72.44116,72.44116
311,71.8211,71.8211
312,70.92844,70.92844
313,71.41984,71.41984
314,73.51705,73.51705
315,72.70554,72.70554
316,73.03131,73.03131
317,74.31677,74.31677
318,71.01705,71.01705
319,67.7293,67.7293
320,64.49265,64.49265
321,65.13493,65.13493
322,66.78962,66.78962
323,65.75464,65.75464
324,67.86843,67.86843
325,70.88925,70.88925
326,69.4639,69.4639
327,67.31525,67.31525
328,69.10676,69.10676
329,69.19092,69.19092
330,68.47511,68.47511
331,67.91573,67.91573
332,70.32224,70.32224
333,69.6922,69.6922
334,66.882,66.882
335,64.22374,64.22374
336,67.56649,67.56649
337,67.08396,67.08396
338,65.02554,113.9805
339,67.17794,116.133
340,65.92759,114.8826
341,67.14671,116.1017
342,67.17748,116.1325
343,65.92738,114.8824
344,66.70079,115.6558
345,64.15624,113.1112
346,64.34776,113.3028
347,67.10315,116.0582
348,65.97975,114.9348
349,66.96729,115.9223
350,67.65315,116.6082
351,65.03706,156.1724
352,66.61358,157.749
353,64.07777,155.2131
354,66.68489,157.8203
355,66.04353,157.1789
356,65.9945,157.1299
357,64.76679,155.9022
358,64.58019,155.7156
359,67.19385,158.3292
360,65.55339,156.6888
361,67.07062,158.206
362,67.60384,158.7392
363,70.90565,113.086
364,68.27634,110.4567
365,67.18914,109.3695
366,67.218,109.3984
367,70.11097,112.2913
368,68.98559,111.166
369,67.60438,109.7847
370,69.75919,111.9395
371,68.2642,110.4446
372,67.15599,109.3363
373,69.0086,111.189
374,64.36486,106.5452
375,65.97054,108.1509
376,65.85376,108.0341
377,65.35442,107.5348
378,67.45874,109.6391
379,66.11375,108.2941
380,64.4297,106.6101
381,67.33065,109.511
382,66.79141,108.9718
383,64.73263,106.913
384,67.96034,110.1407
385,65.09094,107.2713
386,64.40699,106.5873
387,67.90543,110.0858
388,65.57553,107.7559
389,67.2449,67.2449
390,64.71269,64.71269
391,67.01933,67.01933
392,65.61053,65.61053
393,64.49393,64.49393
394,66.99838,66.99838
395,67.04494,67.04494
396,66.42415,66.42415
397,65.5019,65.5019
398,64.63377,64.63377
399,67.89845,67.89845
400,66.45046,66.45046
401,65.63528,65.63528
402,70.04212,70.04212
403,69.83713,69.83713
404,70.68926,70.68926
405,70.59155,70.59155
406,70.43696,70.43696
407,69.70858,69.70858
408,68.49889,68.49889
409,69.27938,69.27938
410,68.91558,68.91558
411,66.80527,66.80527
412,67.7543,67.7543
413,66.89816,66.89816
414,68.09738,68.09738
415,66.6478,66.6478
416,66.49502,66.49502
417,64.65344,64.65344
418,66.50927,66.50927
419,67.86426,67.86426
420,66.58509,66.58509
421,69.73961,69.73961
422,69.6379,69.6379
423,69.42193,69.42193
