Data Sets simulated by the Matlab function dataSetsGenerator,,
Time (s),NoLatchCurrent (mA),LatchCurrent (mA)
1,66.59929,66.59929
2,66.60203,66.60203
3,67.41469,67.41469
4,64.37202,64.37202
5,67.84976,67.84976
6,65.99096,65.99096
7,64.98537,64.98537
8,64.96354,64.96354
9,65.85607,65.85607
10,66.01202,66.01202
11,70.48815,70.48815
12,69.37271,69.37271
13,66.97132,66.97132
14,68.55596,68.55596
15,66.95302,66.95302
16,69.08692,69.08692
17,68.43358,68.43358
18,67.07527,67.07527
19,66.8657,66.8657
20,68.54456,68.54456
21,69.9926,69.9926
22,70.38571,70.38571
23,69.75675,69.75675
24,68.01097,68.01097
25,68.71092,68.71092
26,69.45216,69.45216
27,70.04879,70.04879
28,68.66086,68.66086
29,68.82033,68.82033
30,66.27556,66.27556
31,64.32176,64.32176
32,65.32907,65.32907
33,66.88748,66.88748
34,64.35551,64.35551
35,64.78829,64.78829
36,66.86524,66.86524
37,67.7928,67.7928
38,64.17,64.17
39,67.56103,67.56103
40,67.03989,67.03989
41,67.6379,67.6379
42,66.26373,66.26373
43,67.87415,67.87415
44,67.03497,67.03497
45,67.71142,67.71142
46,65.94528,65.94528
47,66.17096,66.17096
48,65.92775,65.92775
49,64.74106,64.74106
50,67.12761,67.12761
51,67.3171,67.3171
52,64.86474,64.86474
53,66.27326,66.27326
54,67.42666,67.42666
55,65.6003,65.6003
56,64.17084,64.17084
57,66.52501,66.52501
58,66.77682,66.77682
59,68.42952,68.42952
60,67.66624,67.66624
61,69.31771,69.31771
62,66.47029,66.47029
63,66.96906,66.96906
64,67.49104,67.49104
65,66.72425,66.72425
66,69.46388,69.46388
67,66.88303,66.88303
68,68.35377,68.35377
69,66.08532,66.08532
70,67.3691,67.3691
71,67.15268,67.15268
72,65.67599,65.67599
73,66.55305,66.55305
74,64.77312,64.77312
75,67.15091,67.15091
76,64.80939,64.80939
77,66.25473,66.25473
78,67.59668,67.59668
79,65.64365,65.64365
80,64.93128,64.93128
81,66.20632,66.20632
82,65.10463,65.10463
83,65.36361,65.36361
84,65.16837,65.16837
85,65.77879,65.77879
86,67.06377,67.06377
87,66.11457,66.11457
88,67.58383,67.58383
89,67.50281,67.50281
90,67.29678,67.29678
91,66.72936,66.72936
92,67.37188,67.37188
93,67.01314,67.01314
94,65.81821,65.81821
95,67.93316,67.93316
96,67.37021,67.37021
97,65.10583,65.10583
98,65.57705,65.57705
99,65.73179,65.73179
100,65.22671,65.22671
101,66.76846,66.76846
102,67.11433,67.11433
103,64.47599,64.47599
104,65.96113,65.96113
105,66.10557,66.10557
106,65.55191,65.55191
107,67.95396,67.95396
108,67.87441,67.87441
109,65.40966,65.40966
110,64.31871,64.31871
111,65.14104,65.14104
112,65.59787,65.59787
113,64.54865,64.54865
114,67.43787,67.43787
115,64.09957,64.09957
116,67.26453,67.26453
117,64.47633,64.47633
118,65.71512,65.71512
119,67.11163,67.11163
120,65.76775,65.76775
121,65.83466,65.83466
122,65.71397,65.71397
123,64.88456,64.88456
124,67.47566,67.47566
125,64.5739,64.5739
126,67.6241,67.6241
127,65.29921,65.29921
128,66.49966,66.49966
129,67.22643,67.22643
130,66.61535,66.61535
131,66.79148,66.79148
132,67.11773,67.11773
133,67.46393,67.46393
134,64.60539,64.60539
135,65.31589,65.31589
136,67.62799,67.62799
137,66.8238,66.8238
138,65.08088,65.08088
139,65.56027,65.56027
140,65.05561,65.05561
141,67.91346,67.91346
142,67.37936,67.37936
143,66.09876,66.09876
144,65.52346,65.52346
145,64.91507,64.91507
146,69.57174,69.57174
147,67.5427,67.5427
148,67.3273,67.3273
149,69.8682,69.8682
150,70.46629,70.46629
151,68.64759,68.64759
152,67.90697,67.90697
153,71.00386,71.00386
154,67.83673,67.83673
155,68.51305,68.51305
156,67.38962,67.38962
157,65.80607,65.80607
158,67.82269,67.82269
159,67.40528,67.40528
160,67.53195,67.53195
161,66.20289,66.20289
162,64.89399,64.89399
163,65.36049,65.36049
164,67.01096,67.01096
165,66.64221,66.64221
166,65.01976,65.01976
167,64.92816,64.92816
168,64.94842,64.94842
169,64.6452,64.6452
170,66.03866,66.03866
171,65.65662,65.65662
172,64.40818,64.40818
173,65.10743,65.10743
174,66.5535,66.5535
175,64.81572,64.81572
176,69.27989,75.55394
177,71.4733,77.74734
178,71.05202,77.32606
179,70.62042,76.89447
180,70.16277,76.43681
181,70.17981,76.45385
182,69.86517,76.13922
183,71.45889,77.73293
184,68.5758,74.84984
185,71.0708,77.34484
186,68.82462,75.09866
187,65.37078,71.64482
188,67.13625,73.41029
189,66.401,72.67505
190,66.0999,72.37394
191,67.87872,74.15276
192,66.46256,72.7366
193,65.35159,71.62563
194,64.45355,70.7276
195,66.89703,73.17107
196,67.39979,73.67383
197,65.31065,71.5847
198,67.52581,73.79985
199,65.39641,71.67045
200,64.70939,70.98344
201,64.8693,71.14334
202,66.8911,73.16515
203,64.87026,71.1443
204,66.83831,73.11235
205,66.51005,66.51005
206,67.10548,67.10548
207,66.15137,66.15137
