Data Sets simulated by the Matlab function dataSetsGenerator,,
Time (s),NoLatchCurrent (mA),LatchCurrent (mA)
1,66.66656,66.66656
2,67.73173,67.73173
3,65.65301,65.65301
4,67.16509,67.16509
5,66.33265,66.33265
6,64.44004,64.44004
7,65.30529,65.30529
8,64.70281,64.70281
9,67.30606,67.30606
10,65.18201,65.18201
11,64.63116,64.63116
12,65.53078,65.53078
13,65.37426,65.37426
14,67.55531,67.55531
15,64.97618,64.97618
16,64.32014,64.32014
17,65.07917,65.07917
18,67.51458,67.51458
19,64.98146,64.98146
20,67.98913,67.98913
21,67.75312,67.75312
22,67.85966,67.85966
23,65.21316,65.21316
24,67.53354,67.53354
25,65.32673,65.32673
26,67.08882,67.08882
27,64.50828,64.50828
28,66.30186,66.30186
29,67.86479,67.86479
30,66.86285,66.86285
31,65.72936,65.72936
32,67.9609,67.9609
33,65.85821,65.85821
34,64.48586,64.48586
35,65.28615,65.28615
36,64.2085,64.2085
37,64.67461,64.67461
38,65.19718,65.19718
39,65.79799,65.79799
40,65.16914,65.16914
41,65.62253,65.62253
42,64.89175,64.89175
43,66.34999,66.34999
44,65.72323,65.72323
45,67.65821,67.65821
46,65.24261,65.24261
47,65.75897,65.75897
48,67.15028,67.15028
49,65.52093,65.52093
50,67.25369,67.25369
51,66.26269,66.26269
52,65.6443,65.6443
53,64.53659,64.53659
54,66.82247,66.82247
55,64.00013,64.00013
56,64.39943,64.39943
57,65.13318,65.13318
58,64.60521,64.60521
59,67.54237,67.54237
60,67.40232,67.40232
61,65.6418,65.6418
62,67.25004,67.25004
63,64.65595,64.65595
64,67.21043,67.21043
65,70.81704,70.81704
66,66.99013,66.99013
67,70.46291,70.46291
68,69.79258,69.79258
69,69.9762,69.9762
70,68.03324,68.03324
71,68.34697,68.34697
72,69.6657,69.6657
73,67.89717,67.89717
74,70.07286,70.07286
75,66.08931,66.08931
76,64.06555,64.06555
77,65.9753,65.9753
78,66.97637,66.97637
79,66.71833,66.71833
80,67.90124,67.90124
81,66.51485,66.51485
82,64.43489,64.43489
83,64.25155,64.25155
84,64.74679,64.74679
85,66.97601,66.97601
86,65.50486,65.50486
